Model,Dataset,Accuracy,Precision,Recall,F1 Score
Vehicle,Normal,0.8561111111111112,0.9553422370617696,0.8477777777777777,0.8983516483516484
Vehicle,Fog,0.7791666666666667,0.7966607036374478,0.9594254937163376,0.8705000814464896
Vehicle,Night,0.47333333333333333,0.9977603583426652,0.3199281867145422,0.48450244698205547
Vehicle,Town01,0.7958333333333333,0.8630066700872242,0.7823255813953488,0.8206879726762625
Pedestrian,Normal,0.7452777777777778,0.3322734499205087,0.29603399433427763,0.31310861423220976
Pedestrian,Fog,0.7772222222222223,0.3193717277486911,0.08321964529331514,0.13203463203463203
Pedestrian,Night,0.7294444444444445,0.2899305555555556,0.22814207650273224,0.25535168195718655
Pedestrian,Town01,0.8658333333333333,0.1889763779527559,0.1476923076923077,0.16580310880829016
TrafficLight,Normal,0.9572222222222222,0.9557389347336834,0.9860681114551083,0.9706666666666667
TrafficLight,Fog,0.8880555555555556,0.9772434521253757,0.8667174409748667,0.9186680121089809
TrafficLight,Night,0.8369444444444445,0.9775280898876404,0.7948229920060906,0.8767583455805165
TrafficLight,Town01,0.8183333333333334,0.8761865456046224,0.8570851836899476,0.8665306122448979
