Condition,Model,Accuracy,F1
Normal,Pedestrian,0.7,0.4375
Normal,Traffic Light,0.9666666666666667,0.9777777777777777
Normal,Vehicle,0.9166666666666666,0.945054945054945
Fog,Pedestrian,0.7333333333333333,0.2727272727272727
Fog,Traffic Light,0.8333333333333334,0.8780487804878049
Fog,Vehicle,0.8333333333333334,0.9038461538461539
Night,Pedestrian,0.6833333333333333,0.3448275862068966
Night,Traffic Light,0.7666666666666667,0.825
Night,Vehicle,0.6333333333333333,0.7027027027027027
Town01,Pedestrian,0.8333333333333334,0.0
Town01,Traffic Light,0.8,0.8636363636363636
Town01,Vehicle,0.7166666666666667,0.7671232876712328
